"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2201244,"December 31, 2021",Minnesota,Minneapolis,"2400 block of Dupont Ave N",1,1,N/A
2201429,"December 31, 2021","New York","Staten Island","1251 Bay St",1,0,N/A
2206599,"December 30, 2021",Virginia,Winchester,"100 block of Dicks Hollow Rd",1,0,N/A
2200751,"December 29, 2021","North Carolina",Charlotte,"Hamilton Cir",1,0,N/A
2200315,"December 29, 2021",Mississippi,Biloxi,"200 block of McDonnell Ave",1,0,N/A
2200165,"December 29, 2021",Illinois,Chicago,"400 block of W Englewood Ave",0,1,N/A
2200924,"December 29, 2021",Florida,"Palm Coast","8 Regent Ln",1,1,N/A
2199499,"December 28, 2021",Florida,Tampa,"10099 Takomah Trail",1,1,N/A
2198844,"December 28, 2021",Pennsylvania,Philadelphia,"5921 Tacony St",2,0,N/A
2198725,"December 27, 2021",Texas,Dallas,"3736 Conway St",2,1,N/A
2199372,"December 27, 2021",Montana,"Great Falls",N/A,0,1,N/A
2196872,"December 25, 2021",California,Cupertino,"20000 block of Patric Ct",1,0,N/A
2196787,"December 25, 2021",Michigan,Detroit,"Edmore Dr and Cushing St",2,0,N/A
2199402,"December 25, 2021",Texas,Laneville,"6380 Co Rd 4174",1,0,N/A
2196422,"December 24, 2021",Nevada,"Carson City","20 W College Pkwy",1,0,N/A
2196267,"December 24, 2021",Pennsylvania,Pittsburgh,"7300 block of Schoyer St",0,6,N/A
2196291,"December 24, 2021",Georgia,Atlanta,"831 Pinehurst Terrace SW",1,0,N/A
2196245,"December 24, 2021",Kentucky,"Bowling Green","5301 Scottsville Rd",0,1,N/A
2195579,"December 23, 2021","North Carolina",Lumberton,"402 N Pine St",1,0,N/A
2196162,"December 23, 2021",Indiana,"Fort Wayne","8717 Lima Rd",1,2,N/A
2195813,"December 23, 2021",Kentucky,Louisville,"7405 Preston Hwy",2,0,N/A
2196052,"December 23, 2021",Texas,"Grand Prairie","2800 block of N Hwy 360",1,0,N/A
2196008,"December 23, 2021","North Carolina","Winston Salem (Winston-salem)","550 N Martin Luther King Jr Dr",0,1,N/A
2196241,"December 22, 2021",Florida,"Saint Petersburg",N/A,0,1,N/A
2195408,"December 22, 2021",Pennsylvania,Hanover,"900 block of Green Springs Rd",1,0,N/A
2195964,"December 22, 2021","New York",Rochester,"Clifford Ave",0,1,N/A
2195853,"December 21, 2021",Illinois,Broadview,"2000 block of S 20th Ave",0,0,N/A
2194048,"December 21, 2021",Texas,"San Antonio","5522 N PanAm Expy",0,2,N/A
2194519,"December 21, 2021",Illinois,Champaign,"301 Bloomington Rd",0,1,N/A
2193725,"December 20, 2021",Illinois,Chicago,"2800 block of W 36th St",0,1,N/A
2193806,"December 20, 2021",Nevada,"Las Vegas","4266 W Spring Mountain Rd",0,1,N/A
2193912,"December 20, 2021",Tennessee,"Johnson City","1700 block of Lone Oak Rd",0,1,N/A
2193564,"December 19, 2021","South Carolina",Liberty,"346 Stewart Gin Rd",1,0,N/A
2193481,"December 19, 2021",Texas,"San Antonio","1500 N Main Ave",0,1,N/A
2195430,"December 19, 2021",California,Lodi,"1000 W Lodi Ave",0,1,N/A
2194224,"December 18, 2021",Florida,Gainesville,"6 W University Ave",0,1,N/A
2192250,"December 18, 2021",Ohio,Cincinnati,"1990 Millvale Ct",1,1,N/A
2192333,"December 18, 2021",Texas,Houston,"7001 Ave F",1,0,N/A
2193352,"December 18, 2021",Georgia,Cairo,"1100 block of 4th St",0,1,N/A
2193186,"December 17, 2021",Nevada,"Las Vegas","5000 block of Madre Mesa",0,0,N/A
2192521,"December 17, 2021",California,"Garden Grove","11900 block of Sycamore Lane",1,0,N/A
2191298,"December 16, 2021",Tennessee,Memphis,"800 E E H Crump Blvd",1,0,N/A
2190947,"December 16, 2021","New York","Corona (Queens)","Northern Blvd and 57th St",1,2,N/A
